#T,KB250,KB350,KB500
3.0,0.8428,0.9090,0.9144
4.0,0.9001,0.9411,0.9622
5.0,0.9265,0.9642,0.9944
6.0,0.9468,0.9812,1.0168
7.0,0.9629,0.9940,1.0329
8.0,0.9759,1.0039,1.0448
9.0,0.9865,1.0117,1.0540
10.0,0.9952,1.0179,1.0611
15.0,1.0223,1.0362,1.0813
20.0,1.0357,1.0448,1.0904
25.0,1.0434,1.0496,1.0955
30.0,1.0483,1.0527,1.0987
35.0,1.0517,1.0548,1.1009
40.0,1.0541,1.0563,1.1025
