#T,KB250,KB350,KB500
3.0,0.8576,0.9133,0.9240
4.0,0.9048,0.9465,0.9734
5.0,0.9316,0.9703,1.0063
6.0,0.9526,0.9877,1.0290
7.0,0.9692,1.0008,1.0452
8.0,0.9825,1.0108,1.0572
9.0,0.9933,1.0187,1.0664
10.0,1.0022,1.0250,1.0735
15.0,1.0297,1.0435,1.0936
20.0,1.0433,1.0521,1.1026
25.0,1.0510,1.0570,1.1076
30.0,1.0560,1.0600,1.1108
35.0,1.0594,1.0621,1.1130
40.0,1.0618,1.0636,1.1145
