# Band ai bi scatter
"IRAC I4" 0.869 5.127 0.137
"MIPS 24mu" 0.919 3.786 0.095
"Pacs 70" 0.931 2.749 0.081
"Pacs 100" 0.974 1.137 0.050
"Pacs 160" 1.043 -1.151 0.090
"SPIRE 250" 1.148 -4.180 0.133
