# Band ai bi scatter
"IRAC I4" 0.929 1.135 0.148
"MIPS 24mu" 0.954 1.336 0.100
"Pacs 70" 0.973 0.567 0.086
"Pacs 100" 1.000 0.256 0.052
"Pacs 160" 1.024 0.176 0.090
"SPIRE 250" 1.060 0.451 0.136
