                              | phys frel  mag | phys  frel  mag    re    ar      pa    n     | phys  frel  mag    hr    ar      pa   mu0    | phys  frel  mu0   rout   ar     pa    | phys frel mu0    rs    hs      pa   | phys  frel  mag   re     ar    pa  n         | phys  frel  mag    hr    ar     pa    mu0    | phys  frel  mu0   rout   ar     pa    | phys frel mu0    rs    hs     pa   
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
11    ESO079-003  bz      2 4 |    -      -    |B    0.264 12.036  221.8  0.280  127.5 20.000 |      -      -      -      -      -      -    |      -      -      -      -      -    |Z  0.736 17.865   14.7  3.200  131.1 |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
12    ESO079-005  dbar    2 4 |    -      -    |      -      -      -      -      -      -    |D    0.714 13.841   21.5  0.589  171.2 22.503 |BAR  0.286 21.918   56.5  0.201   10.5 |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
13    ESO079-007  dbar    2 5 |    -      -    |      -      -      -      -      -      -    |D    0.965 13.401   14.5  0.808   18.3 21.202 |BAR  0.035 21.733   22.5  0.146   19.3 |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
14    ESO085-014  dbar    2 5 |    -      -    |      -      -      -      -      -      -    |D    0.890 13.120   31.0  0.370   83.6 22.573 |BAR  0.110 21.991   51.7  0.155   69.6 |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
15    ESO085-030  bz      2 4 |    -      -    |B    0.562 13.771    9.0  0.420  146.3  1.084 |      -      -      -      -      -      -    |      -      -      -      -      -    |Z  0.438 21.112    9.7 11.081  150.4 |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
16    ESO085-047  dd      2 5 |    -      -    |      -      -      -      -      -      -    |D    0.147 16.928    9.9  0.294   40.2 23.908 |      -      -      -      -      -    |    -      -      -      -      -    |      -      -      -      -      -      -    |D    0.853 14.988   25.3  0.539   31.6 23.999 |      -      -      -      -      -    |    -      -      -      -      -    
17    ESO107-016  z       1 4 |    -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |Z  1.000 21.793   15.2  4.591   86.1 |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
18    ESO114-007  d       1 5 |    -      -    |      -      -      -      -      -      -    |D    1.000 14.685   13.0  0.772  129.4 22.256 |      -      -      -      -      -    |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
19    ESO115-021  bz      2 4 |    -      -    |B    0.574 13.649   90.2  0.324   43.3  1.849 |      -      -      -      -      -      -    |      -      -      -      -      -    |Z  0.426 22.949   54.0 10.831   42.2 |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
20    ESO116-012  -       0 1 |    -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
