objname,ra2000,de2000,t,type,v,logd25,d25,bt,incl,col10,_r,_RAJ2000,_DEJ2000,WISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,cntr,snr1,chi2W1,snr2,chi2W2,snr3,chi2W3,snr4,chi2W4,nb,na,sat1,sat2,sat3,sat4,ccf,ex,var,nW1,mW1,nW2,mW2,nW3,mW3,nW4,mW4,2Mkey,d2M
UGC07387,185.07240000000002,4.20161,6.7,Scd,1733,1.3,1.9952620958974432,15.12,90.0,,3.99E-4,185.072672,4.201903,J122017.44+041206.8,185.072672,4.201903,0.042,0.04,106,12.29,0.023,12.295,0.027,8.99,0.03,7.016,0.093,14.21,,13.408,,14.04,0.163,1853104501241007627,47.0,45.6,40.2,9.05,36.3,3.86,11.6,2.07,1,0,0.0,0.0,0.0,0.0,0000,5,0210,-31,23,23,16,16,9,9,6,855429968,0.601
UGC07396,185.14065,0.78815,7.6,SBd,2120,1.17,1.4791082420082973,14.91,90.0,,6.31E-4,185.141244,0.787937,J122033.89+004716.5,185.141244,0.787937,0.188,0.17,149,14.163,0.036,13.963,0.064,11.219,0.286,8.375,,,,,,,,1845101501241000032,30.4,6.04,17.0,1.34,3.8,0.781,-0.5,0.91,3,0,0.0,0.0,0.0,0.0,0000,1,00nn,-31,11,11,9,11,1,5,0,0,
UGC07411,185.3919,4.77947,0.3,S0-a,2122,1.06,1.14815347022194,14.77,75.3,,1.46E-4,185.39204,4.779512,J122134.08+044646.2,185.39204,4.779512,0.092,0.086,137,12.125,0.023,12.216,0.026,11.379,0.223,8.42,,14.192,0.079,13.751,0.103,13.53,0.105,1853104501241021459,46.3,35.2,41.8,7.42,4.9,0.994,1.6,0.968,1,0,0.0,0.0,0.0,0.0,0000,5,11nn,-31,20,20,16,16,2,9,0,855452543,0.288
UGC07422,185.50545,5.10031,2.5,SBb,1876,1.05,1.1220183311090417,14.93,72.7,,2.51E-4,185.505334,5.100087,J122201.28+050600.3,185.505334,5.100087,0.035,0.034,88,11.758,0.024,11.721,0.024,8.335,0.024,5.448,0.032,14.535,0.139,13.802,0.178,13.46,0.111,1853104501241026857,45.9,44.0,46.2,10.2,45.0,1.79,34.1,1.03,1,0,0.0,0.0,0.0,0.0,0000,5,0000,-31,24,24,18,18,9,9,12,855456882,0.03
UGC07436,185.58135,14.76082,-2.2,S0,983,1.09,1.2302688653672373,14.77,71.8,,1.05E-4,185.581455,14.760792,J122219.54+144538.8,185.581455,14.760792,0.101,0.097,113,12.888,0.025,12.969,0.03,12.325,0.36,9.035,,15.501,0.186,15.06,0.232,13.614,,1862115101241007626,43.2,32.8,36.0,5.74,3.0,1.08,0.2,1.0,1,0,0.0,0.0,0.0,0.0,00PP,5,10nn,111,13,13,13,13,0,13,0,1053253179,0.758
UGC07522,186.49395,3.42937,5.8,Sc,1419,1.42,2.630267731982223,14.52,90.0,,6.82E-4,186.493267,3.429388,J122558.38+032545.7,186.493267,3.429388,0.105,0.093,142,11.778,0.026,11.712,0.029,9.44,0.056,7.781,0.274,15.166,0.195,12.924,,12.573,,1860103001241013327,41.0,23.3,38.0,7.33,19.2,2.2,4.0,1.19,3,0,0.0,0.0,0.0,0.0,0000,3,00nn,-118,12,12,11,11,5,5,0,855549867,1.341
UGC07579,186.98069999999998,5.7212,8.2,Sd,2249,1.09,1.2302688653672373,15.20,90.0,,1.99E-4,186.9809,5.721193,J122755.41+054316.2,186.9809,5.721193,0.094,0.093,99,12.654,0.026,12.562,0.031,8.968,0.035,6.872,0.092,15.52,0.164,14.901,0.245,14.798,0.191,1868106001241007745,41.8,39.9,34.9,7.46,31.2,4.63,11.8,1.56,1,0,0.0,0.0,0.0,0.0,0000,5,20n1,-107,17,17,12,12,7,7,7,855590487,0.1
UGC07596,187.14165,8.63947,9.8,I,563,1.18,1.5135610656352623,14.74,85.8,,0.001197,187.142781,8.639042,J122834.26+083820.5,187.142781,8.639042,0.1,0.093,91,15.029,0.037,14.708,0.083,11.816,,8.438,,,,,,,,1868109001241013128,29.6,4.88,13.1,1.25,1.2,0.806,1.4,1.05,1,0,0.0,0.0,0.0,0.0,0000,1,04nn,-94,22,22,9,22,0,8,0,0,
UGC07636,187.503,7.93005,9.8,I,468,1.0,1.0,14.89,53.8,,8.44E-4,187.503837,7.929892,J123000.92+075547.6,187.503837,7.929892,0.367,0.338,84,15.699,0.063,15.275,0.131,11.956,0.302,9.148,,,,,,,,1876107501241025105,17.1,1.93,8.3,1.18,3.6,0.992,-0.9,0.907,1,0,0.0,0.0,0.0,0.0,0000,2,01nn,-83,13,20,6,20,2,12,0,0,
UGC07688,188.1351,8.0446,9.6,I,609,1.28,1.9054605924362857,14.83,90.0,,3.06E-4,188.135203,8.044889,J123232.44+080241.6,188.135203,8.044889,0.206,0.194,91,14.775,0.038,14.604,0.086,12.041,,8.506,,,,,,,,1876107501241028583,28.7,6.13,12.6,1.5,0.5,0.969,0.4,1.07,1,0,0.0,0.0,0.0,0.007,0000,1,11nn,-83,15,15,8,15,0,7,0,0,
UGC07700,188.13675,63.87735,7.9,Sd,2966,1.18,1.5135610656352623,14.87,52.1,,3.94E-4,188.137552,63.877525,J123233.01+635239.0,188.137552,63.877525,0.101,0.097,80,13.68,0.026,13.448,0.031,10.091,0.041,8.066,0.157,16.468,0.163,15.416,0.168,14.688,0.119,1882163601241028329,42.0,14.2,35.1,2.66,26.7,1.21,6.9,1.01,1,0,0.0,0.0,0.0,0.0,0000,5,0133,0,21,21,21,21,20,20,4,574855095,1.69
UGC07795,189.43890000000002,7.10399,9.8,I,61,1.08,1.20226455342066,14.77,42.8,,0.002749,189.440817,7.105975,J123745.79+070621.5,189.440817,7.105975,0.517,0.468,83,16.285,0.094,15.325,0.152,11.432,0.197,8.56,,,,,,,,1891107501241010543,11.5,1.27,7.1,1.06,5.5,1.2,1.2,1.15,1,0,0.0,0.0,0.0,0.0,0000,0,1nnn,109,6,11,3,11,3,10,0,0,
UGC07802,189.5871,7.89157,6.1,Sc,1774,1.22,1.6595870167669808,15.09,86.1,,7.04E-4,189.587664,7.891999,J123821.03+075331.1,189.587664,7.891999,0.116,0.114,64,13.57,0.026,13.473,0.038,10.307,0.065,8.039,0.183,16.463,0.235,14.364,,15.015,0.177,1891107501241021194,41.6,23.1,28.6,3.57,16.8,1.12,5.9,1.03,1,0,0.0,0.0,0.0,0.0,0000,5,000n,109,14,14,13,14,13,13,2,871962694,0.926
UGC07916,191.1048,34.38665,9.9,I,606,1.36,2.290867728226077,-,46.8,,0.002418,191.102311,34.387926,J124424.55+342316.5,191.102311,34.387926,0.795,0.749,73,16.842,0.124,16.569,0.332,12.704,,9.168,,,,,,,,1918134801241009037,8.7,0.927,3.3,0.992,0.3,0.898,-0.6,0.978,1,0,0.0,0.0,0.0,0.0,0000,0,1nnn,0,4,14,1,14,0,14,0,0,
UGC07982,192.45929999999998,2.85209,4.7,Sc,1155,1.46,2.8840317564502844,14.04,81.6,,4.95E-4,192.459194,2.852574,J124950.20+025109.2,192.459194,2.852574,0.076,0.073,126,11.897,0.021,11.939,0.023,8.988,0.029,7.191,0.11,14.485,0.123,14.121,0.209,13.769,0.133,1921103001241006249,53.0,93.8,46.5,24.7,37.7,5.15,9.9,1.16,1,0,0.0,0.0,0.0,0.0,0000,5,0000,87,11,11,11,11,11,11,5,856974444,1.372
UGC07991,192.66240000000002,1.46453,6.6,Scd,1267,1.32,2.089296383189619,14.79,85.0,,3.81E-4,192.662714,1.464314,J125039.05+012751.5,192.662714,1.464314,0.097,0.094,109,12.828,0.025,12.815,0.031,9.887,0.049,7.798,0.204,14.557,,15.234,0.203,13.665,,1921101501241007724,43.2,34.7,35.4,6.7,22.2,1.61,5.3,1.07,1,0,0.0,0.0,0.0,0.0,0000,5,011n,87,12,12,12,12,12,12,1,856988259,1.51
UGC08032,193.68404999999998,13.2371,2.0,Sab,1119,1.43,2.6915344788557576,14.30,90.0,,4.86E-4,193.684037,13.237586,J125444.16+131415.3,193.684037,13.237586,0.079,0.076,112,11.842,0.024,11.826,0.024,9.008,0.028,7.106,0.091,14.036,,13.862,0.06,12.823,,1939113601241008246,45.6,62.9,45.1,19.9,38.8,4.11,12.0,1.53,1,0,0.0,0.0,0.0,0.0,0000,5,3111,0,13,13,13,13,13,13,7,156408215,0.96
UGC08042,193.79295,7.91785,4.1,Sbc,2652,1.03,1.0715192346486087,15.33,56.1,,2.23E-4,193.793022,7.918061,J125510.32+075505.0,193.793022,7.918061,0.117,0.115,98,13.79,0.029,13.652,0.04,10.061,0.05,7.54,0.128,16.314,0.196,14.899,,14.367,,1937107501241024154,37.6,11.0,27.3,2.29,21.5,1.43,8.5,1.18,1,0,0.0,0.0,0.0,0.0,0000,1,1111,87,14,14,14,14,14,14,5,892001290,1.652
UGC08181,196.3527,32.90002,8.0,Sd,895,1.08,1.20226455342066,15.59,90.0,,3.35E-4,196.353049,32.900182,J130524.73+325400.6,196.353049,32.900182,0.184,0.175,97,14.813,0.036,14.577,0.066,12.216,,8.734,,,,,,,,1961133301241011007,30.5,5.8,16.4,1.46,1.8,1.08,1.2,0.952,1,0,0.0,0.0,0.0,0.0,0000,1,00nn,0,14,14,13,14,0,14,0,0,
UGC08201,196.6038,67.70693,9.9,I,31,1.52,3.3113110693986716,12.92,71.2,,0.002582,196.598722,67.70865,J130623.69+674231.1,196.598722,67.70865,0.312,0.283,48,15.987,0.053,15.869,0.134,13.158,,9.569,,,,,,,,1977168101241010416,20.6,1.55,8.1,0.922,0.0,0.977,-0.7,0.892,1,0,0.0,0.0,0.0,0.001,0000,0,0nnn,0,20,23,3,23,0,21,0,0,
UGC08246,197.52045,34.18095,5.9,SBc,820,1.39,2.4547088348300035,14.82,80.0,,5.67E-4,197.521135,34.180964,J131005.07+341051.4,197.521135,34.180964,0.845,0.765,3,14.972,0.541,14.806,0.355,11.914,0.268,7.851,0.16,,,,,,,1973134801241003235,2.0,0.134,3.1,0.524,4.1,0.919,6.8,0.964,3,1,0.0,0.0,0.0,0.0,0000,2,nnnn,0,0,16,0,16,0,16,2,0,
UGC08333,198.97484999999998,25.43582,9.7,I,937,1.05,1.1220183311090417,-,90.0,,4.89E-4,198.974369,25.435596,J131553.84+252608.1,198.974369,25.435596,0.314,0.294,91,15.577,0.053,15.602,0.163,12.743,,8.784,,,,,,,,1983125701241013167,20.7,2.66,6.6,0.976,-0.1,0.866,0.9,1.06,1,0,0.0,0.0,0.0,0.0,0000,0,1nnn,11,12,12,3,12,0,12,1,0,
