# Fitzpatrick and Massa 2007, Rv = 5
# Wavelength_Angstrom	Alambda_Av
   2275.000       1.869299    
   2285.000       1.853247    
   2295.000       1.836968    
   2305.000       1.820605    
   2315.000       1.804285    
   2325.000       1.788114    
   2335.000       1.772178    
   2345.000       1.756550    
   2355.000       1.741285    
   2365.000       1.726428    
   2375.000       1.712009    
   2385.000       1.698051    
   2395.000       1.684568    
   2405.000       1.671566    
   2415.000       1.659046    
   2425.000       1.647006    
   2435.000       1.635438    
   2445.000       1.624333    
   2455.000       1.613677    
   2465.000       1.603457    
   2475.000       1.593659    
   2485.000       1.584267    
   2495.000       1.575265    
   2505.000       1.566636    
   2513.000       1.559992    
   2518.000       1.555951    
   2525.000       1.550436    
   2535.000       1.542832    
   2545.000       1.535538    
   2555.000       1.528541    
   2565.000       1.521824    
   2575.000       1.515376    
   2585.000       1.509181    
   2595.000       1.503229    
   2605.000       1.497507    
   2615.000       1.492003    
   2625.000       1.486707    
   2635.000       1.481609    
   2645.000       1.476698    
   2655.000       1.471965    
   2665.000       1.467402    
   2675.000       1.463000    
   2685.000       1.458752    
   2695.000       1.454650    
   2705.000       1.450687    
   2715.000       1.446856    
   2725.000       1.443151    
   2735.000       1.439567    
   2745.000       1.436097    
   2755.000       1.432736    
   2765.000       1.429480    
   2775.000       1.426323    
   2785.000       1.423261    
   2795.000       1.420290    
   2805.000       1.417406    
   2815.000       1.414605    
   2825.000       1.411883    
   2835.000       1.409238    
   2845.000       1.406665    
   2855.000       1.404162    
   2865.000       1.401725    
   2875.000       1.399353    
   2885.000       1.397042    
   2895.000       1.394790    
   2910.000       1.391517    
   2930.000       1.387339    
   2950.000       1.383359    
   2970.000       1.379560    
   2990.000       1.375931    
   3010.000       1.372459    
   3030.000       1.369133    
   3050.000       1.366468    
   3070.000       1.364182    
   3090.000       1.362079    
   3110.000       1.360160    
   3130.000       1.358424    
   3150.000       1.356863    
   3170.000       1.355465    
   3190.000       1.354215    
   3210.000       1.353099    
   3230.000       1.352097    
   3250.000       1.351193    
   3270.000       1.350367    
   3290.000       1.349602    
   3310.000       1.348880    
   3330.000       1.348184    
   3350.000       1.347496    
   3370.000       1.346802    
   3390.000       1.346086    
   3410.000       1.345336    
   3430.000       1.344539    
   3450.000       1.343684    
   3470.000       1.342761    
   3490.000       1.341760    
   3510.000       1.340675    
   3530.000       1.339497    
   3550.000       1.338221    
   3570.000       1.336843    
   3590.000       1.335358    
   3610.000       1.333764    
   3630.000       1.332057    
   3640.000       1.331161    
   3650.000       1.330237    
   3670.000       1.328302    
   3690.000       1.326253    
   3710.000       1.324089    
   3730.000       1.321812    
   3750.000       1.319423    
   3770.000       1.316923    
   3790.000       1.314315    
   3810.000       1.311602    
   3830.000       1.308786    
   3850.000       1.305870    
   3870.000       1.302858    
   3890.000       1.299752    
   3910.000       1.296558    
   3930.000       1.293278    
   3950.000       1.289917    
   3970.000       1.286477    
   3990.000       1.282965    
   4010.000       1.279382    
   4030.000       1.275735    
   4050.000       1.272025    
   4070.000       1.268258    
   4090.000       1.264438    
   4110.000       1.260568    
   4130.000       1.256653    
   4150.000       1.252696    
   4170.000       1.248700    
   4190.000       1.244671    
   4210.000       1.240610    
   4230.000       1.236522    
   4250.000       1.232410    
   4270.000       1.228276    
   4290.000       1.224126    
   4310.000       1.219960    
   4330.000       1.215783    
   4350.000       1.211596    
   4370.000       1.207403    
   4390.000       1.203207    
   4410.000       1.199009    
   4430.000       1.194811    
   4450.000       1.190617    
   4470.000       1.186428    
   4490.000       1.182246    
   4510.000       1.178073    
   4530.000       1.173911    
   4550.000       1.169761    
   4570.000       1.165625    
   4590.000       1.161505    
   4610.000       1.157401    
   4630.000       1.153315    
   4650.000       1.149248    
   4670.000       1.145201    
   4690.000       1.141175    
   4710.000       1.137170    
   4730.000       1.133189    
   4750.000       1.129231    
   4770.000       1.125297    
   4790.000       1.121388    
   4810.000       1.117504    
   4830.000       1.113645    
   4850.000       1.109812    
   4870.000       1.106005    
   4890.000       1.102225    
   4910.000       1.098472    
   4930.000       1.094745    
   4950.000       1.091046    
   4970.000       1.087373    
   4990.000       1.083727    
   5010.000       1.080108    
   5030.000       1.076516    
   5050.000       1.072950    
   5070.000       1.069411    
   5090.000       1.065899    
   5110.000       1.062413    
   5130.000       1.058952    
   5150.000       1.055517    
   5170.000       1.052107    
   5190.000       1.048723    
   5210.000       1.045363    
   5230.000       1.042027    
   5250.000       1.038715    
   5270.000       1.035427    
   5290.000       1.032162    
   5310.000       1.028920    
   5330.000       1.025700    
   5350.000       1.022501    
   5370.000       1.019325    
   5390.000       1.016169    
   5410.000       1.013033    
   5430.000       1.009918    
   5450.000       1.006822    
   5470.000       1.003745    
   5490.000       1.000686    
   5510.000      0.9976461    
   5530.000      0.9946234    
   5550.000      0.9916179    
   5570.000      0.9886289    
   5590.000      0.9856560    
   5610.000      0.9826989    
   5630.000      0.9797570    
   5650.000      0.9768298    
   5670.000      0.9739169    
   5690.000      0.9710178    
   5710.000      0.9681320    
   5730.000      0.9652591    
   5750.000      0.9623986    
   5770.000      0.9595501    
   5790.000      0.9567133    
   5810.000      0.9538876    
   5830.000      0.9510726    
   5850.000      0.9482680    
   5870.000      0.9454733    
   5890.000      0.9426881    
   5910.000      0.9399120    
   5930.000      0.9371448    
   5950.000      0.9343858    
   5970.000      0.9316350    
   5990.000      0.9288917    
   6010.000      0.9261559    
   6030.000      0.9234270    
   6050.000      0.9207049    
   6070.000      0.9179891    
   6090.000      0.9152794    
   6110.000      0.9125754    
   6130.000      0.9098769    
   6150.000      0.9071836    
   6170.000      0.9044954    
   6190.000      0.9018117    
   6210.000      0.8991324    
   6230.000      0.8964575    
   6250.000      0.8937863    
   6270.000      0.8911190    
   6290.000      0.8884552    
   6310.000      0.8857946    
   6330.000      0.8831372    
   6350.000      0.8804827    
   6370.000      0.8778310    
   6390.000      0.8751819    
   6410.000      0.8725352    
   6430.000      0.8698907    
   6450.000      0.8672484    
   6470.000      0.8646081    
   6490.000      0.8619697    
   6510.000      0.8593330    
   6530.000      0.8566980    
   6550.000      0.8540645    
   6570.000      0.8514324    
   6590.000      0.8488017    
   6610.000      0.8461722    
   6630.000      0.8435440    
   6650.000      0.8409168    
   6670.000      0.8382908    
   6690.000      0.8356658    
   6710.000      0.8330417    
   6730.000      0.8304185    
   6750.000      0.8277961    
   6770.000      0.8251747    
   6790.000      0.8225542    
   6810.000      0.8199345    
   6830.000      0.8173155    
   6850.000      0.8146974    
   6870.000      0.8120801    
   6890.000      0.8094636    
   6910.000      0.8068480    
   6930.000      0.8042331    
   6950.000      0.8016192    
   6970.000      0.7990061    
   6990.000      0.7963941    
   7010.000      0.7937829    
   7030.000      0.7911728    
   7050.000      0.7885637    
   7070.000      0.7859556    
   7090.000      0.7833488    
   7110.000      0.7807432    
   7130.000      0.7781388    
   7150.000      0.7755358    
   7170.000      0.7729341    
   7190.000      0.7703340    
   7210.000      0.7677354    
   7230.000      0.7651384    
   7250.000      0.7625432    
   7270.000      0.7599497    
   7290.000      0.7573581    
   7310.000      0.7547685    
   7330.000      0.7521809    
   7350.000      0.7495956    
   7370.000      0.7470124    
   7390.000      0.7444315    
   7410.000      0.7418532    
   7430.000      0.7392774    
   7450.000      0.7367043    
   7470.000      0.7341338    
   7490.000      0.7315665    
   7510.000      0.7290019    
   7530.000      0.7264406    
   7550.000      0.7238824    
   7570.000      0.7213276    
   7590.000      0.7187763    
   7610.000      0.7162285    
   7630.000      0.7136844    
   7650.000      0.7111440    
   7670.000      0.7086078    
   7690.000      0.7060755    
   7710.000      0.7035474    
   7730.000      0.7010236    
   7750.000      0.6985043    
   7770.000      0.6959896    
   7790.000      0.6934794    
   7810.000      0.6909742    
   7830.000      0.6884739    
   7850.000      0.6859786    
   7870.000      0.6834887    
   7890.000      0.6810039    
   7910.000      0.6785247    
   7930.000      0.6760511    
   7950.000      0.6735832    
   7970.000      0.6711212    
   7990.000      0.6686651    
   8010.000      0.6662154    
   8030.000      0.6637717    
   8050.000      0.6613343    
   8070.000      0.6589037    
   8090.000      0.6564795    
   8110.000      0.6540621    
   8130.000      0.6516517    
   8150.000      0.6492483    
   8170.000      0.6468521    
   8190.000      0.6444632    
   8210.000      0.6420816    
   8230.000      0.6397076    
   8250.000      0.6373414    
   8270.000      0.6349829    
   8290.000      0.6326323    
   8310.000      0.6302899    
   8330.000      0.6279556    
   8350.000      0.6256295    
   8370.000      0.6233120    
   8390.000      0.6210030    
   8410.000      0.6187027    
   8430.000      0.6164111    
   8450.000      0.6141286    
   8470.000      0.6118550    
   8490.000      0.6095906    
   8510.000      0.6073355    
   8530.000      0.6050898    
   8550.000      0.6028535    
   8570.000      0.6006269    
   8590.000      0.5984102    
   8610.000      0.5962033    
   8630.000      0.5940063    
   8650.000      0.5918194    
   8670.000      0.5896429    
   8690.000      0.5874764    
   8710.000      0.5853205    
   8730.000      0.5831751    
   8750.000      0.5810404    
   8770.000      0.5789163    
   8790.000      0.5768032    
   8810.000      0.5747010    
   8830.000      0.5726098    
   8850.000      0.5705298    
   8870.000      0.5684611    
   8890.000      0.5664037    
   8910.000      0.5643578    
   8930.000      0.5623235    
   8950.000      0.5603008    
   8970.000      0.5582898    
   8990.000      0.5562906    
   9010.000      0.5543035    
   9030.000      0.5523283    
   9050.000      0.5503653    
   9070.000      0.5484145    
   9090.000      0.5464760    
   9110.000      0.5444747    
   9130.000      0.5425557    
   9150.000      0.5406477    
   9170.000      0.5387504    
   9190.000      0.5368640    
   9210.000      0.5349883    
   9230.000      0.5331232    
   9250.000      0.5312685    
   9270.000      0.5294244    
   9290.000      0.5275906    
   9310.000      0.5257670    
   9330.000      0.5239536    
   9350.000      0.5221503    
   9370.000      0.5203572    
   9390.000      0.5185739    
   9410.000      0.5168005    
   9430.000      0.5150370    
   9450.000      0.5132833    
   9470.000      0.5115391    
   9490.000      0.5098045    
   9510.000      0.5080795    
   9530.000      0.5063639    
   9550.000      0.5046576    
   9570.000      0.5029607    
   9590.000      0.5012730    
   9610.000      0.4995945    
   9630.000      0.4979250    
   9650.000      0.4962646    
   9670.000      0.4946131    
   9690.000      0.4929705    
   9710.000      0.4913368    
   9730.000      0.4897118    
   9750.000      0.4880956    
   9770.000      0.4864879    
   9790.000      0.4848887    
   9810.000      0.4832981    
   9830.000      0.4817160    
   9850.000      0.4801423    
   9870.000      0.4785768    
   9890.000      0.4770197    
   9910.000      0.4754706    
   9930.000      0.4739298    
   9950.000      0.4723970    
   9970.000      0.4708722    
   9990.000      0.4693554    
   10025.00      0.4667200    
   10075.00      0.4629965    
   10125.00      0.4593210    
   10175.00      0.4556925    
   10225.00      0.4521102    
   10275.00      0.4485734    
   10325.00      0.4450812    
   10375.00      0.4416329    
   10425.00      0.4382277    
   10475.00      0.4348649    
   10525.00      0.4315436    
   10575.00      0.4282633    
   10625.00      0.4250232    
   10675.00      0.4218227    
   10725.00      0.4186611    
   10775.00      0.4155377    
   10825.00      0.4124520    
   10875.00      0.4094031    
   10925.00      0.4063907    
   10975.00      0.4034140    
   11025.00      0.4004725    
   11075.00      0.3975657    
   11125.00      0.3946928    
   11175.00      0.3918535    
   11225.00      0.3890472    
   11275.00      0.3862733    
   11325.00      0.3835313    
   11375.00      0.3808206    
   11425.00      0.3781410    
   11475.00      0.3754918    
   11525.00      0.3728726    
   11575.00      0.3702827    
   11625.00      0.3677220    
   11675.00      0.3651898    
   11725.00      0.3626858    
   11775.00      0.3602096    
   11825.00      0.3577605    
   11875.00      0.3553384    
   11925.00      0.3529428    
   11975.00      0.3505732    
   12025.00      0.3482293    
   12075.00      0.3459107    
   12125.00      0.3436170    
   12175.00      0.3413479    
   12225.00      0.3391030    
   12275.00      0.3368819    
   12325.00      0.3346843    
   12375.00      0.3325098    
   12425.00      0.3303582    
   12475.00      0.3282291    
   12525.00      0.3261220    
   12575.00      0.3240368    
   12625.00      0.3219732    
   12675.00      0.3199308    
   12725.00      0.3179093    
   12775.00      0.3159084    
   12825.00      0.3139279    
   12875.00      0.3119674    
   12925.00      0.3100267    
   12975.00      0.3081055    
   13025.00      0.3062035    
   13075.00      0.3043204    
   13125.00      0.3024561    
   13175.00      0.3006102    
   13225.00      0.2987825    
   13275.00      0.2969728    
   13325.00      0.2951808    
   13375.00      0.2934062    
   13425.00      0.2916488    
   13475.00      0.2899085    
   13525.00      0.2881849    
   13575.00      0.2864779    
   13625.00      0.2847872    
   13675.00      0.2831127    
   13725.00      0.2814540    
   13775.00      0.2798110    
   13825.00      0.2781835    
   13875.00      0.2765713    
   13925.00      0.2749742    
   13975.00      0.2733921    
   14025.00      0.2718245    
   14075.00      0.2702715    
   14125.00      0.2687329    
   14175.00      0.2672084    
   14225.00      0.2656979    
