name,IRAS_12,IRAS_12_err,IRAS_25,IRAS_25_err,IRAS_60,IRAS_60_err,IRAS_100,IRAS_100_err
NGC3277,0.1,0.032015621664234176,,,0.7,0.14361058258256168,1.98,0.41742065453498195
NGC3283,0.07,0.03310589013205649,0.09,0.03244996245865863,0.9,0.1931320748221525,3.87,0.9738362227832862
NGC3287,0.14,0.038897301249506605,0.27,0.0660302971285063,1.7,0.34296502248176564,5.26,1.0581588237722486
NGC3294,0.51,0.10456098513765659,0.66,0.1351480718927805,5.97,1.1946367229657298,16.45,3.293150012107415
NGC3301,,,0.03,0.039458840088811106,0.49,0.10406248307757773,0.77,0.19523318924133545
NGC3338,0.27,0.06082762760573386,0.27,0.06720119165771758,2.86,0.5736897907205116,10.74,2.1511840467607333
NGC3346,0.08,0.02801785128471255,0.25,0.06931089409360063,1.27,0.25682678592637054,4.97,1.0009794786852537
NGC3348,,,,,,,,
NGC3351,0.72,0.1468911215817698,2.28,0.45821500951237587,16.9,3.3804805108529075,33.25,6.651155989713173
NGC3353,0.22,0.06660330362320604,0.95,0.19220041374984195,5.34,1.0718698917542457,6.71,1.3704918893910194
NGC3364,0.11,0.03801315513533629,,,0.73,0.15566631384203908,3.41,0.8089184294407279
NGC3370,0.3,0.06664083010965072,0.36,0.08095060498398553,3.52,0.7057031915071089,9.52,1.916100558470411
NGC3380,0.09,0.03413209599995635,0.13,0.05458937616847492,0.64,0.13440609867279896,1.64,0.3636385564955462
NGC3381,0.1,0.029000000000513837,0.11,0.03640054870954311,1.35,0.2726609661870519,4.0,0.8059801483272725
NGC3395,0.22,0.051107729424365346,0.51,0.10632026886096436,7.86,1.5734700773946877,16.04,3.220546720680538
NGC3396,0.19,0.04248529087277581,0.62,0.12690547771601657,7.41,1.4832548363748979,15.75,3.163138313899487
NGC3403,0.15,0.03448188079176111,0.08,0.02483948399906688,0.98,0.19843639148087153,4.5,0.935700810208897
NGC3413,,,,,0.97,0.2800714284992786,1.72,0.8956924919951302
NGC3414,0.05,0.026925824436898563,0.06,0.03324153970788734,0.2,0.057280015193326844,0.44,0.21850400707577325
NGC3424,0.45,0.0945568586748079,0.95,0.19301813184168995,7.98,1.6008097987187382,17.55,3.5287204384612485
NGC3430,0.22,0.04875448663587833,0.3,0.06896376158352222,2.97,0.5952142527736769,10.03,2.0118262312785897
NGC3437,0.66,0.13559130264631095,1.25,0.25495097582575715,11.17,2.2345156227281846,19.78,3.9600026625813363
NGC3440,0.09,0.033286635067969535,0.23,0.050990195837293806,0.65,0.13319534042835146,0.92,0.23120553928317883
NGC3445,-5.8,1.1602086400711438,0.2,0.04882622344685987,2.05,0.4159326775111496,4.37,0.8903796721620632
NGC3448,0.2,0.044721359883195894,0.44,0.0914822383564324,5.55,1.1105206368239753,11.25,2.2521769468436057
NGC3454,0.1,0.03522782938987241,0.08,0.044011363094318565,0.59,0.13471821870922515,0.95,0.2496878035637797
NGC3455,0.09,0.03244996245865863,,,0.86,0.18216476284742714,2.78,0.5875678622347332
NGC3458,0.08,0.029681644280301588,,,0.05,0.038327536292673214,,
NGC3485,,,,,,,,
NGC3488,0.08,0.027202940710715443,,,0.45,0.09931766974351572,1.88,0.399500939587418
NGC3501,,,,,,,,
NGC3504,1.09,0.21942881061802372,3.82,0.7652091084955708,19.4,3.880613406115128,33.97,6.796600864767804
NGC3512,-0.02,0.04219004564728791,0.16,0.04967896799813376,1.45,0.29832868714395266,3.88,0.8960357403098373
NGC3516,0.44,0.09070832327207604,0.9,0.1808977563583675,1.84,0.37074115643432776,2.46,0.5772936853587131
NGC3521,2.12,0.4257898315525918,2.22,0.44648068819367787,31.44,6.288206925918107,104.17,20.835894550850394
NGC3526,0.11,0.03883297686283623,,,0.71,0.1469965941385725,1.8,0.4177846240254726
NGC3547,0.24,0.07299999907000425,0.26,0.0778973658607264,1.96,0.395433946561275,4.41,0.891822822077438
NGC3564,0.39,0.10751743902653293,1.72,0.3527321989666132,,,15.2,4.036164592301222
NGC3592,,,,,,,,
NGC3596,,,,,2.95,0.6012952772797849,7.94,1.6104558484865774
NGC3608,,,,,,,,
NGC3610,0.17,0.048083262680118644,,,,,0.23,0.10375452032065859
NGC3613,0.02,0.021377558031581104,,,,,0.17,0.0805294968795763
NGC3619,0.08,0.02801785128471255,0.09,0.028425341167767862,0.37,0.08558621540137634,1.42,0.30909544716692
NGC3620,1.0,0.20120636171541595,4.71,0.942234054978851,44.36,8.87279815879231,64.54,12.994632461297067
NGC3621,1.26,0.25287348423036604,1.51,0.30379762809501937,16.97,3.394223927184658,64.39,12.878793804462681
NGC3622,0.11,0.031827660875583544,0.08,0.029681644280301588,1.12,0.2265656649911736,2.75,0.5605033457572813
NGC3626,,,,,,,,
NGC3627,1.88,0.3774453593184518,3.09,0.6203547202479649,41.77,8.35411075637549,106.79,21.35945160392757
