name,IRAS_12,IRAS_12_err,IRAS_12_flag,IRAS_25,IRAS_25_err,IRAS_25_flag,IRAS_60,IRAS_60_err,IRAS_60_flag,IRAS_100,IRAS_100_err,IRAS_100_flag
IC2828,0.06,0.0332415397079,e,,,,0.36,0.0859825578865,,0.74,0.252031742065,
IC3019,0.11,0.0333016518116,e,,,,,,,0.32,0.161245156149,
IC3021,,,,0.24,0.0693108935991,e,,,,0.18,0.196328809729,
IC3023,,,,0.12,0.0475078947872,e,0.05,0.0364005496306,,0.36,0.189232659361,
IC3033,,,,0.15,0.0600333256042,e,0.15,0.0863770809309,,,,
IC3044,0.07,0.0277848881891,e,,,,0.06,0.0417612251022,,,,
IC3059,,,,,,,,,,,,
IC3061,0.08,0.03312098942,e,0.07,0.0395600813568,e,0.33,0.0926336873726,,1.46,0.415077097319,
IC3065,,,,,,,,,,0.47,0.243846257451,
IC3077,,,,,,,,,,,,
IC3096,,,,,,,,,,0.22,0.231224996731,
IC3099,,,,0.1,0.0465188130153,e,,,,,,
IC3100,0.15,0.0390512495338,e,,,,0.07,0.0386264144089,,0.37,0.192769295388,
IC3102,,,,0.05,0.0441474815654,e,0.26,0.0674759210921,,0.62,0.142888070064,
IC3104,,,,,,,0.27,0.0799812495148,,,,
IC3105,0.09,0.0324499624587,e,0.07,0.0404969123367,e,0.2,0.0609590030751,,,,
IC3115,0.1,0.0394461675904,e,,,,0.21,0.0586941222161,,0.28,0.134238594902,
IC3131,0.08,0.0430813174941,e,0.16,0.0576888203578,e,,,,0.21,0.111233987227,
IC3167,0.44,0.0939840406892,e,0.24,0.0651152814324,e,,,,,,
IC3229,0.08,0.0430813174941,e,0.09,0.0503289168816,e,0.11,0.0465295614381,,0.28,0.162926361131,
IC3258,,,,,,,0.52,0.113318133445,,0.84,0.263501415302,
IC3259,0.04,0.040792155197,e,0.14,0.0564358031846,e,0.19,0.0612209114912,,0.73,0.272426142345,
IC3267,,,,,,,0.21,0.0894706681786,,,,
IC3268,0.05,0.0316227760127,e,,,,0.7,0.145880085774,,1.67,0.364116729987,
IC3305,,,,,,,,,,,,
IC3311,,,,,,,0.09,0.056920999438,,0.23,0.269948145895,
IC3313,,,,0.02,0.0392045923592,eC,,,,,,
IC3322,,,,0.15,0.056603887778,e,0.45,0.101533242928,,1.75,0.381580920008,
IC3331,,,,,,,,,,,,
IC3355,,,,0.16,0.0653681876575,e,-0.05,0.05787054524,,0.33,0.213459593307,
IC3358,,,,0.12,0.060008332267,e,,,,,,
IC3371,,,,,,,0.14,0.0496487673517,,,,
IC3381,0.15,0.0484148735273,e,,,,0.01,0.0440454308509,,,,
IC3391,0.09,0.030000000596,e,0.12,0.0424381901674,e,0.46,0.0974063673707,,1.33,0.294333153207,
IC3392,0.06,0.0233238070581,e,0.18,0.0608029602685,e,0.78,0.159452181556,,3.18,0.658070677741,
IC3393,,,,,,,,,,,,
IC3413,,,,,,,,,,,,
IC3430,,,,,,,,,,,,
IC3459,0.14,0.0472016939718,e,0.1,0.0594642767173,e,,,,0.18,0.104403063177,
IC3468,,,,0.13,0.0545893761685,e,,,,0.26,0.217313133266,
IC3475,0.05,0.0316227760127,e,,,,,,,,,
IC3476,0.15,0.0417252923672,e,0.12,0.055461698935,e,1.54,0.312526791226,,3.06,0.662616020113,
IC3499,,,,,,,,,,,,
IC3509,0.25,0.0604648668703,e,0.19,0.0693397416361,e,,,,0.26,0.24850150935,
IC3517,,,,,,,0.13,0.0700071399249,,0.43,0.174642488416,
IC3518,0.14,0.0440454325932,e,,,,,,,,,
IC3521,0.02,0.0312569987023,e,0.12,0.0518844869154,e,1.02,0.209344210076,,2.67,0.556601309685,
IC3586,,,,0.16,0.0644980631323,e,-0.03,0.0493659789005,,,,
IC3611,,,,0.16,0.0544058814214,e,0.36,0.0849058335624,,0.25,0.219763510764,
IC3631,0.07,0.0395600813568,e,0.33,0.0878635314143,e,,,,,,
IC3718,,,,0.1,0.0483321838007,e,0.23,0.0896939240557,,0.26,0.111825755957,
IC4213,0.07,0.0277848881891,e,,,,0.26,0.0605392415729,,0.75,0.175965905882,
IC5270,0.22,0.0516236381596,e,0.28,0.0650000001146,e,3.17,0.635524995045,e,8.17,1.64210993867,
IC5334,0.11,0.043908995683,e,,,,0.11,0.043908995683,,0.43,0.131137333128,
NGC0007,0.11,0.0340587730644,e,,,,0.26,0.0615873346544,,0.54,0.148553022648,
NGC0115,,,,,,,0.4,0.0938136454102,,0.73,0.196824797536,
NGC0131,0.11,0.0356089882355,e,0.12,0.0424381901674,e,0.53,0.112605500283,,1.91,0.40070562105,
NGC0147,0.15,0.0366196676614,e,0.12,0.0339411252651,e,0.15,0.0609015599569,,,,
NGC0148,0.02,0.0272946888076,e,0.04,0.0388329744454,e,,,,,,
NGC0150,0.37,0.0787718235092,e,1.63,0.327665987503,e,8.34,1.66852872368,e,17.32,3.46647610354,
NGC0253,24.19,4.83803741547,e,128.33,25.6660178991,e,797.16,159.431998044,e,1038.98,207.806789872,e
NGC0254,0.17,0.0416173045058,e,0.07,0.0433243591359,e,,,,0.41,0.200531791175,
NGC0274,0.23,0.0578013848208,eC,0.65,0.140014280957,eC,4.91,0.986024817304,C,8.22,1.90175501027,C
NGC0275,0.24,0.059405386182,eC,0.65,0.138928034013,eC,4.9,0.983943106739,C,8.14,1.89866090175,C
